3151523,24024,141606,23158,38434,26236,6097,9330,100,53,0
958752,34077,4008,17280,7599,7018,2661,2908,100,54,0
358072,41094,16701,7432,13769,3925,1393,251,100,54,25
983462,14377,3286,2234,606,834,136,133,100,54,25
1031829,209985,20208,31605,7578,9249,8012,5191,100,54,51
207152,30285,44618,23497,11360,11828,8045,6895,100,54,51
2085117,671301,99636,25137,31272,38614,6837,2462,100,54,51
993968,195567,22491,19451,24607,10678,3905,2181,87,38,0
700479,17905,5865,3340,3965,2914,229,211,87,38,26
1064369,39499,14239,12485,18869,9227,4053,2806,87,38,51
2084591,63500,27784,28248,38660,22836,8322,5384,74,51,0
1340348,187413,43586,56368,85727,36592,8367,4643,53,50,0
1171023,36503,13738,2613,16680,8954,3233,1299,47,54,0
1538606,125985,16474,28028,73859,69982,21514,26068,43,84,0
298968,59120,17982,2925,6270,5328,1170,330,40,69,0
840902,319441,82112,70437,49539,28126,30980,26400,40,69,51
737580,18472,1364,4452,1295,1547,2766,311,40,69,25
1053568,758025,249837,39428,32872,21054,58087,12215,41,48,0
1203862,24098,968,11756,6473,9054,1720,1468,41,48,51
1032909,42810,11844,7179,6462,4185,1068,640,41,48,26
956947,5282,2645,5856,2406,3617,570,279,41,48,51
640063,10339,777,1526,395,960,452,354,41,48,51
33,4,0,1,2,1,0,1,41,48,25
36842,12073,2129,6165,2531,1273,1429,1603,50,35,0
205225,235706,5274,17872,2208,2335,1042,803,44,1,0
801457,53655,15819,13557,3761,2752,2131,1361,50,1,0
3217120,23615,31350,3576,12351,2761,2507,1268,60,10,0
726380,6267,1506,17497,3144,3971,1427,502,70,24,0
1955113,159880,17634,40492,57119,16105,21427,27484,81,47,0
1424436,244662,89486,106473,39697,33526,17243,11924,83,56,0
609460,92771,8584,30484,6965,3693,2422,4254,74,50,0
627515,136455,34322,26007,28265,9568,5232,1942,57,38,0
1434123,207086,108376,55217,50684,44515,13442,4425,66,43,0
2036590,87620,16514,7425,7425,6190,1887,1418,56,38,0
454942,48249,9316,9850,5701,3751,6422,1256,54,47,0
999014,432405,163579,53192,23275,142200,5452,11342,54,61,0
1508780,157469,51063,109200,30263,26656,2313,2734,57,60,0
188557,6656,2603,6932,1199,3962,380,820,57,60,25
2230663,100426,19665,7898,7648,3558,1874,1070,57,60,26
2515081,37548,15332,12330,23980,11418,3814,2821,63,70,0
486935,573063,25513,42785,31245,22553,14559,10710,51,66,0
1922042,46592,78715,24683,15977,15585,2891,3338,66,57,0
158539,22658,6923,3567,6252,1559,490,532,57,51,0
1055023,150506,69924,12355,15875,24628,6869,4127,61,47,0
1202424,40257,21623,50226,16439,9142,13262,6833,84,54,0
2242917,535683,247677,129451,142754,98938,27490,22262,84,54,25
1276001,43644,9705,21873,36420,45652,21325,2078,84,54,26
113177,26001,8125,2531,6936,3211,2303,816,67,53,0
111888,139926,5464,25540,20172,19203,5565,1594,61,63,0
1241457,247354,79828,43545,37761,38803,26789,8716,61,63,0
697519,132111,96828,39949,58053,47624,14103,8676,54,69,0
2034791,247115,59154,49118,34635,20439,19346,3840,56,64,0
2219490,37707,11040,10113,2671,4012,1846,1292,67,60,0
179442,11192,39815,10352,3304,1713,2572,598,84,47,0
93769,20889,12758,5166,6730,5238,814,675,80,44,0
56113,44309,13000,14255,2895,6299,3642,1257,81,50,0
2262659,52114,33058,24907,119309,30047,8473,4249,81,50,51
781993,6033,4132,2506,3365,2226,303,692,81,60,0
20729,7303,1283,285,135,202,235,149,54,56,0
30278,13898,3874,988,802,1669,864,182,50,51,0
838532,76801,3828,36972,13356,22994,11103,4034,47,60,0
262700,8043,21052,8567,2879,2225,2454,1406,60,48,0
521066,21605,9237,7840,4541,5041,2330,1487,69,66,0
419740,75319,37070,52680,14103,15544,5786,3297,69,66,51
339707,210100,59055,98407,97020,48901,7419,6693,69,66,51
2331518,90013,6351,29991,23006,13616,10302,2215,69,66,25
1144000,20207,9146,9862,5852,6565,4983,1438,77,74,0
2004238,216728,176023,176999,76061,57248,16155,11229,88,64,0
772647,13305,3522,3105,5662,5951,921,235,88,64,25
7,1,0,0,0,0,0,0,88,64,25
543443,36050,33004,9864,19904,12517,4365,3444,88,64,25
797243,43790,9869,16212,7249,4856,1467,1382,70,67,0
518456,361476,111182,61673,116993,28606,13020,8664,66,57,0
2067549,293904,5711,62874,110994,104321,2723,9872,66,57,51
627430,1624,1356,2149,3287,1208,511,225,66,57,26
1831387,66632,1124,4657,7074,2720,813,1113,44,41,0
325287,11904,4680,1878,1711,955,270,188,44,41,26
160375,30429,7636,4800,1563,3046,2752,1200,35,38,0
2296410,155294,31019,44954,43603,12970,11324,4996,34,37,0
1103515,32276,11013,4097,5941,13055,4047,1001,30,53,0
358318,30550,7025,5035,1912,1514,1493,572,30,53,26
782518,39539,38548,19828,18276,12836,7506,14626,30,53,51
460144,250291,7144,6945,26931,29395,14921,8069,30,53,25
987549,18151,12295,6244,7420,2869,2661,1125,54,61,0
126000,42400,21850,21779,14387,22635,5188,1838,54,61,51
139,49,19,10,6,4,1,0,54,61,25
213635,152989,11823,33608,39955,21237,30339,52320,54,61,51
761522,52014,29397,29286,25227,21621,3514,1403,54,61,51
557710,162778,17077,18784,16852,9867,2289,1646,54,61,25
2310085,75117,14338,26640,11579,9152,5625,2343,54,61,25
503629,225826,42801,79440,51809,50923,10449,9673,54,61,25
746994,35630,12190,5146,4080,2852,667,1014,56,60,0
39792,26131,1036,4193,1068,935,719,261,50,53,0
163609,179185,3750,9896,7012,26411,4660,8139,35,47,0
165620,48926,2792,5610,11092,3185,3244,3389,17,43,0
292124,368985,52055,63805,33125,11812,5697,3440,14,34,0
723951,69951,6702,11250,7536,8865,1510,1318,14,47,0
488168,134330,49332,40494,60481,24306,2706,6895,34,44,0
703268,28547,2844,5692,4098,2702,1247,1493,38,47,0
171922,41617,26738,9641,4846,6634,2101,614,48,60,0
195994,122535,42223,28325,41392,20049,6363,5376,53,60,0
782237,88673,40512,35451,25207,13531,4514,6046,57,56,0
2714266,86810,34257,35010,74073,32506,12745,3023,63,67,0
114724,9627,18970,7980,8058,8543,1281,993,66,80,0
382280,107608,57361,12210,39672,17857,5757,1294,67,80,0
1336414,44800,19938,18507,2468,11503,2521,1087,67,84,0
626657,30107,2973,3197,3775,1477,1216,582,61,67,0
